LogTime,read_ce_log_num_15m,scrub_ce_log_num_15m,all_ce_log_num_15m,read_ce_count_15m,scrub_ce_count_15m,all_ce_count_15m,log_happen_frequency_15m,ce_storm_count_15m,fault_mode_others_15m,fault_mode_device_15m,fault_mode_bank_15m,fault_mode_row_15m,fault_mode_column_15m,fault_mode_cell_15m,fault_row_num_15m,fault_column_num_15m,error_bit_count_15m,error_dq_count_15m,error_burst_count_15m,max_dq_interval_15m,max_burst_interval_15m,dq_count=1_15m,dq_count=2_15m,dq_count=3_15m,dq_count=4_15m,burst_count=1_15m,burst_count=2_15m,burst_count=3_15m,burst_count=4_15m,burst_count=5_15m,burst_count=6_15m,burst_count=7_15m,burst_count=8_15m,read_ce_log_num_1h,scrub_ce_log_num_1h,all_ce_log_num_1h,read_ce_count_1h,scrub_ce_count_1h,all_ce_count_1h,log_happen_frequency_1h,ce_storm_count_1h,fault_mode_others_1h,fault_mode_device_1h,fault_mode_bank_1h,fault_mode_row_1h,fault_mode_column_1h,fault_mode_cell_1h,fault_row_num_1h,fault_column_num_1h,error_bit_count_1h,error_dq_count_1h,error_burst_count_1h,max_dq_interval_1h,max_burst_interval_1h,dq_count=1_1h,dq_count=2_1h,dq_count=3_1h,dq_count=4_1h,burst_count=1_1h,burst_count=2_1h,burst_count=3_1h,burst_count=4_1h,burst_count=5_1h,burst_count=6_1h,burst_count=7_1h,burst_count=8_1h
1716120124,0,1,1,0,1,1,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1716157628,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1718031248,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1719286930,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1719466136,1,0,1,1,0,1,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1719733203,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1719736709,1,0,1,6,0,6,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6,0,6,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1719745184,1,0,1,3,0,3,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,3,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1719747961,1,0,1,8,0,8,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,8,0,8,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1719749527,1,0,1,6,0,6,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6,0,6,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1719762979,1,0,1,4,0,4,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,0,4,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1719792968,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1719807243,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1719813648,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1719824057,1,0,1,8,0,8,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,8,0,8,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1719830903,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1719835014,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
