BankId,BankgroupId,Capacity,ChannelId,ColumnId,CpuId,DimmId,FrequencyMHz,LogTime,Manufacturer,MaxSpeedMHz,McaBank,MciAddr,Model,PN,RankId,RetryRdErrLog,RetryRdErrLogParity,RowId,burst_info,deviceID,error_type_full_name,memory_type,region
3,0,32,0,0,1,0,,1704134086,C,4000.0,P,226563565888,H,BY,1,107021,144723988,14346,"{'0': [62], '1': [60], '2': [], '3': [60, 62], '4': [], '5': [61, 63], '6': [63], '7': []}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704133984,C,4000.0,P,226576935232,H,BY,1,107021,144723988,14364,"{'0': [62], '1': [60], '2': [], '3': [60, 62], '4': [], '5': [61, 63], '6': [63], '7': []}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704135541,C,4000.0,P,226600921408,H,BY,1,107021,144723988,14393,"{'0': [62], '1': [60], '2': [], '3': [60, 62], '4': [], '5': [61, 63], '6': [63], '7': []}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704131571,C,4000.0,P,226614683968,H,BY,1,107021,144723988,14412,"{'0': [62], '1': [60], '2': [], '3': [60, 62], '4': [], '5': [61, 63], '6': [63], '7': []}",15,CE.READ,DDR4,B
3,0,32,3,0,1,0,,1704131564,C,,P,226614683968,H,BY,1,107021,144723988,14412,"{'0': [62], '1': [60], '2': [], '3': [60, 62], '4': [], '5': [61, 63], '6': [63], '7': []}",15,CE.READ,DDR4,B
3,0,32,3,0,1,0,,1704130862,C,,P,226623727936,H,BY,1,107021,144723988,14419,"{'0': [62], '1': [60], '2': [], '3': [60, 62], '4': [], '5': [61, 63], '6': [63], '7': []}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704134345,C,4000.0,P,226624121152,H,BY,1,107021,144723988,14420,"{'0': [62], '1': [60], '2': [], '3': [60, 62], '4': [], '5': [61, 63], '6': [63], '7': []}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704131449,C,4000.0,P,226636310848,H,BY,1,107021,144724997,14435,"{'0': [60, 62], '1': [], '2': [62], '3': [60, 62], '4': [], '5': [61, 63], '6': [63], '7': []}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704139103,C,4000.0,P,226650466624,H,BY,1,107021,144723988,14455,"{'0': [62], '1': [60], '2': [], '3': [60, 62], '4': [], '5': [61, 63], '6': [63], '7': []}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704133029,C,4000.0,P,229785971008,H,BY,1,107021,2718565697,14477,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704131944,C,4000.0,P,229797767488,H,BY,1,107021,2718565697,14491,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704133607,C,4000.0,P,229811136832,H,BY,1,107021,2718565697,14509,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704134779,C,4000.0,P,229833550144,H,BY,1,107021,2718565697,14534,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704132979,C,4000.0,P,229843773760,H,BY,1,107021,2718565697,14544,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,3,0,1,0,,1704132246,C,,P,229846133056,H,BY,1,107021,2718582085,14550,"{'0': [60, 62], '1': [62], '2': [60, 62], '3': [62], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704132778,C,4000.0,P,229849672000,H,BY,1,107021,2718565697,14559,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,3,0,1,0,,1704130862,C,,P,229857536320,H,BY,1,107021,144723988,14563,"{'0': [62], '1': [60], '2': [], '3': [60, 62], '4': [], '5': [61, 63], '6': [63], '7': []}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704131694,C,4000.0,P,229859502400,H,BY,1,107021,2718565697,14568,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704132496,C,4000.0,P,229874837824,H,BY,1,107021,2718565697,14591,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704133820,C,4000.0,P,226573015360,H,BY,1,107021,145248276,14610,"{'0': [62], '1': [60], '2': [], '3': [60, 62], '4': [63], '5': [61, 63], '6': [63], '7': []}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704137776,C,4000.0,P,226589923648,H,BY,1,107021,2718041409,14637,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,3,0,1,0,,1704131619,C,,P,226636716352,H,BY,1,107021,2718565441,14692,"{'0': [60], '1': [62], '2': [62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704133100,C,4000.0,P,226637502784,H,BY,1,107021,2718565697,14694,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704134296,C,4000.0,P,226639075648,H,BY,1,107021,2819248193,14698,"{'0': [60], '1': [62], '2': [], '3': [60, 62], '4': [61, 63], '5': [], '6': [63], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704131917,C,4000.0,P,226640648512,H,BY,1,107021,2819228993,14702,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [63], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,3,0,1,0,,1704130862,C,,P,226652444992,H,BY,1,107021,2718565697,14716,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704138862,C,4000.0,P,229784410432,H,BY,1,107021,2718565697,14729,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704135743,C,4000.0,P,229784803648,H,BY,1,107021,2718565697,14730,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704132137,C,4000.0,P,229786376512,H,BY,1,107021,2718565697,14734,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704134418,C,4000.0,P,229796206912,H,BY,1,107021,2150125844,14743,"{'0': [62], '1': [60], '2': [60], '3': [60, 62], '4': [63], '5': [61], '6': [], '7': [63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704132424,C,4000.0,P,229809576256,H,BY,1,107021,2718565697,14761,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704132523,C,4000.0,P,229823338816,H,BY,1,107021,2181694784,14780,"{'0': [], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704133225,C,4000.0,P,229823732032,H,BY,1,107021,2718565697,14781,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704131094,C,4000.0,P,229843786048,H,BY,1,107021,2718565697,14800,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704132761,C,4000.0,P,229845358912,H,BY,1,107021,2718565697,14804,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704132046,C,4000.0,P,333935806784,H,BY,1,107021,2686993488,14853,"{'0': [], '1': [60, 62], '2': [62], '3': [62], '4': [63], '5': [61], '6': [], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704133122,C,4000.0,P,226574600512,H,BY,1,107021,144723988,14870,"{'0': [62], '1': [60], '2': [], '3': [60, 62], '4': [], '5': [61, 63], '6': [63], '7': []}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704138501,C,4000.0,P,226576959808,H,BY,1,107021,2148029700,14876,"{'0': [62], '1': [], '2': [60, 62], '3': [60, 62], '4': [63], '5': [], '6': [], '7': [63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704133574,C,4000.0,P,226598979904,H,BY,1,107021,2718041409,14900,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704132052,C,4000.0,P,226602912064,H,BY,1,107021,2718565697,14910,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704130974,C,4000.0,P,226611956032,H,BY,1,107021,2718565697,14917,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704132638,C,4000.0,P,226622572864,H,BY,1,107021,2181710101,14928,"{'0': [60, 62], '1': [60], '2': [60], '3': [62], '4': [61, 63], '5': [], '6': [61], '7': [63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704138382,C,4000.0,P,226641054016,H,BY,1,107021,2718580997,14959,"{'0': [60, 62], '1': [], '2': [60], '3': [62], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,3,0,1,0,,1704131595,C,,P,229781670208,H,BY,1,107021,2317357137,14978,"{'0': [60], '1': [60, 62], '2': [], '3': [60], '4': [], '5': [61], '6': [61, 63], '7': [63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704132147,C,4000.0,P,229785995584,H,BY,1,107021,2718565697,14989,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704132507,C,4000.0,P,229811554624,H,BY,1,107021,2718565697,15022,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704130951,C,4000.0,P,229822171456,H,BY,1,107021,2718434625,15033,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704132627,C,4000.0,P,229844584768,H,BY,1,107021,2718565697,15058,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704132744,C,4000.0,P,229860706624,H,BY,1,107021,2685011265,15083,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704134790,C,4000.0,P,226572646720,H,BY,1,107021,2183795029,15121,"{'0': [60, 62], '1': [60, 62], '2': [60], '3': [60], '4': [61, 63], '5': [61], '6': [61], '7': [63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704135993,C,4000.0,P,226575006016,H,BY,1,107021,2718565700,15127,"{'0': [62], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,3,0,1,0,,1704130862,C,,P,226588375360,H,BY,1,107017,2718586177,15145,"{'0': [60], '1': [62], '2': [60, 62], '3': [60, 62], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704132259,C,4000.0,P,226588768576,H,BY,1,107021,571102528,15146,"{'0': [], '1': [62], '2': [60, 62], '3': [60, 62], '4': [61, 63], '5': [], '6': [61], '7': [61]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704131312,C,4000.0,P,226613541184,H,BY,1,107021,2718565697,15177,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704134317,C,4000.0,P,226614327616,H,BY,1,107021,2718061893,15179,"{'0': [60, 62], '1': [62], '2': [60, 62], '3': [60, 62], '4': [61], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704131344,C,4000.0,P,226624551232,H,BY,1,107021,2718565697,15189,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704135663,C,4000.0,P,226637134144,H,BY,1,107021,2150122581,15205,"{'0': [60, 62], '1': [60, 62], '2': [62], '3': [62], '4': [63], '5': [61], '6': [], '7': [63]}",15,CE.READ,DDR4,B
3,0,32,3,0,1,0,,1704130862,C,,P,226639493440,H,BY,1,107021,2718565697,15211,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704137546,C,4000.0,P,226641066304,H,BY,1,107021,2718565697,15215,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704136098,C,4000.0,P,226648930624,H,BY,1,107021,2718565697,15219,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704131427,C,4000.0,P,226650503488,H,BY,1,107021,134890817,15223,"{'0': [60], '1': [62], '2': [60, 62], '3': [62], '4': [61, 63], '5': [], '6': [63], '7': []}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704131454,C,4000.0,P,226651683136,H,BY,1,107021,2718565697,15226,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704131465,C,4000.0,P,229806061888,H,BY,1,107021,2718565697,15264,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704133714,C,4000.0,P,229809994048,H,BY,1,107021,2718565697,15274,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704133501,C,4000.0,P,229811960128,H,BY,1,107021,2718565697,15279,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704138262,C,4000.0,P,229834766656,H,BY,1,107021,2718565697,15305,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704131581,C,4000.0,P,229836339520,H,BY,1,107021,2718565697,15309,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,3,0,1,0,,1704131578,C,,P,229836339520,H,BY,1,107021,2718565697,15309,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
3,0,32,0,0,1,0,,1704133474,C,4000.0,P,229844597056,H,BY,1,107021,2718565697,15314,"{'0': [60], '1': [62], '2': [60, 62], '3': [], '4': [61, 63], '5': [], '6': [61], '7': [61, 63]}",15,CE.READ,DDR4,B
